"id,""note"",""commentaire"""
"243,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 [Suivi dossier #3671]"""
"244,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 [Suivi dossier #8271]"""
"245,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 [Suivi dossier #341]"""
"246,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 [Suivi dossier #6892]"""
"247,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 [Suivi dossier #3438]"""
"248,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 [Suivi dossier #6515]"""
"249,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 [Suivi dossier #2261]"""
"250,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 [Suivi dossier #1761]"""
"251,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 [Suivi dossier #2024]"""
"252,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 [Suivi dossier #4834]"""
"253,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 [Suivi dossier #8102]"""
"254,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 [Suivi dossier #6006]"""
"255,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 [Suivi dossier #5727]"""
"256,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 [Suivi dossier #616]"""
"257,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 5899"""
"258,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 7649"""
"259,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 549"""
"260,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 9796"""
"261,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 7336"""
"262,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 7291"""
"263,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 4446"""
"264,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 360"""
"265,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 8464"""
"266,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 1237"""
"267,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 796"""
"268,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 270"""
"269,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 8961"""
"270,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 3995"""
"271,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 3095"""
"272,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 3488"""
"273,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 8155"""
"274,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 311"""
"275,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 7092"""
"276,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 4526"""
"277,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1357"""
"278,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3207"""
"279,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 1962"""
"280,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 191"""
"281,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 5069"""
"282,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 4771"""
"283,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8649"""
"284,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 8932"""
"285,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 8713"""
"286,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 6772"""
"287,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 7719"""
"288,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 8279"""
"289,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 - Ref: 8240"""
"290,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 - Ref: 6363"""
"291,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 - Ref: 7097"""
"292,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 - Ref: 6397"""
"293,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 - Ref: 693"""
"294,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 - Ref: 4274"""
"295,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 - Ref: 9292"""
"296,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 - Ref: 3640"""
"297,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 - Ref: 322"""
"298,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 - Ref: 691"""
"299,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 - Ref: 2490"""
"300,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 - Ref: 376"""
"301,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 - Ref: 4410"""
"302,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 - Ref: 925"""
"303,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 - Ref: 1396"""
"304,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 - Ref: 4205"""
"305,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 - Ref: 6835"""
"306,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 - Ref: 1564"""
"307,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 - Ref: 7314"""
"308,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 - Ref: 1880"""
"309,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 - Ref: 7459"""
"310,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 - Ref: 1656"""
"311,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 - Ref: 5901"""
"312,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 - Ref: 4538"""
"313,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 - Ref: 4988"""
"314,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 - Ref: 1324"""
"315,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 - Ref: 1659"""
"316,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 - Ref: 4324"""
"317,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 - Ref: 6643"""
"318,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 - Ref: 244"""
"319,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 - Ref: 1289"""
"320,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 - Ref: 5715"""
"321,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 4706"""
"322,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 6389"""
"323,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7826"""
"324,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 9964"""
"325,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 6342"""
"326,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 1820"""
"327,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 72"""
"328,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 4902"""
"329,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 4296"""
"330,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 6773"""
"331,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 977"""
"332,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 4566"""
"333,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 9902"""
"334,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 5811"""
"335,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 9349"""
"336,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9311"""
"337,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 8512"""
"338,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 4625"""
"339,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 7591"""
"340,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 4081"""
"341,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 7633"""
"342,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 5922"""
"343,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 6710"""
"344,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 5784"""
"345,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 8792"""
"346,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 6609"""
"347,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 6671"""
"348,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3526"""
"349,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 7617"""
"350,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 7509"""
"351,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 4693"""
"352,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 937"""
"353,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 - Ref: 609"""
"354,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 - Ref: 235"""
"355,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 - Ref: 9348"""
"356,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 - Ref: 6035"""
"357,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 - Ref: 2131"""
"358,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 - Ref: 2549"""
"359,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 - Ref: 6354"""
"360,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 - Ref: 4122"""
"361,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 - Ref: 1550"""
"362,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 - Ref: 5384"""
"363,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 - Ref: 2271"""
"364,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 - Ref: 5205"""
"365,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 - Ref: 9211"""
"366,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 - Ref: 441"""
"367,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 - Ref: 4571"""
"368,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 - Ref: 1534"""
"369,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 - Ref: 3959"""
"370,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 - Ref: 5193"""
"371,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 - Ref: 4088"""
"372,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 - Ref: 4859"""
"373,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 - Ref: 2035"""
"374,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 - Ref: 5597"""
"375,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 - Ref: 1880"""
"376,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 - Ref: 2609"""
"377,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 - Ref: 7405"""
"378,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 - Ref: 9200"""
"379,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 - Ref: 3786"""
"380,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 - Ref: 1332"""
"381,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 - Ref: 5301"""
"382,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 - Ref: 2509"""
"383,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 - Ref: 6641"""
"384,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 - Ref: 5680"""
"385,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #5886] - Ref: 8477"""
"386,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #345] - Ref: 5346"""
"387,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #4066] - Ref: 1299"""
"388,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #9296] - Ref: 457"""
"389,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #4282] - Ref: 8391"""
"390,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3521] - Ref: 583"""
"391,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #4761] - Ref: 7743"""
"392,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #3242] - Ref: 6966"""
"393,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #1930] - Ref: 1601"""
"394,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #9922] - Ref: 7107"""
"395,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #3822] - Ref: 735"""
"396,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #9342] - Ref: 2355"""
"397,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #5245] - Ref: 9567"""
"398,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #8200] - Ref: 773"""
"399,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #5268] - Ref: 5165"""
"400,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #1737] - Ref: 3508"""
"401,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] [Suivi dossier #2882] - Ref: 2043"""
"402,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] [Suivi dossier #9199] - Ref: 9691"""
"403,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] [Suivi dossier #7348] - Ref: 2328"""
"404,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] [Suivi dossier #9146] - Ref: 2568"""
"405,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] [Suivi dossier #3686] - Ref: 5857"""
"406,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] [Suivi dossier #991] - Ref: 1579"""
"407,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] [Suivi dossier #3900] - Ref: 324"""
"408,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] [Suivi dossier #6526] - Ref: 6884"""
"409,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] [Suivi dossier #932] - Ref: 3449"""
"410,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] [Suivi dossier #5082] - Ref: 6595"""
"411,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] [Suivi dossier #2614] - Ref: 2626"""
"412,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] [Suivi dossier #7824] - Ref: 3347"""
"413,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] [Suivi dossier #1279] - Ref: 8858"""
"414,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] [Suivi dossier #2922] - Ref: 4251"""
"415,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] [Suivi dossier #774] - Ref: 4680"""
"416,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] [Suivi dossier #5106] - Ref: 647"""
"417,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. - Ref: 9052 [Suivi dossier #3207] - Ref: 9196"""
"418,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. - Ref: 4871 [Suivi dossier #716] - Ref: 4041"""
"419,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. - Ref: 7199 [Suivi dossier #3961] - Ref: 2614"""
"420,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. - Ref: 1382 [Suivi dossier #7659] - Ref: 951"""
"421,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. - Ref: 5315 [Suivi dossier #6410] - Ref: 6913"""
"422,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. - Ref: 2427 [Suivi dossier #9074] - Ref: 1714"""
"423,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. - Ref: 6193 [Suivi dossier #6139] - Ref: 7830"""
"424,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. - Ref: 3685 [Suivi dossier #3474] - Ref: 4009"""
"425,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. - Ref: 9846 [Suivi dossier #8953] - Ref: 6554"""
"426,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. - Ref: 8176 [Suivi dossier #4345] - Ref: 745"""
"427,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. - Ref: 1341 [Suivi dossier #4865] - Ref: 4065"""
"428,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. - Ref: 2180 [Suivi dossier #1293] - Ref: 8089"""
"429,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. - Ref: 6875 [Suivi dossier #1870] - Ref: 8249"""
"430,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. - Ref: 7836 [Suivi dossier #5472] - Ref: 6980"""
"431,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. - Ref: 8554 [Suivi dossier #1749] - Ref: 152"""
"432,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. - Ref: 9266 [Suivi dossier #2329] - Ref: 9822"""
"433,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #8689] - Ref: 666 [Suivi dossier #6400] - Ref: 8655"""
"434,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #9755] - Ref: 5534 [Suivi dossier #5015] - Ref: 3811"""
"435,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #2709] - Ref: 5671 [Suivi dossier #5873] - Ref: 3088"""
"436,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #4281] - Ref: 1754 [Suivi dossier #4322] - Ref: 4009"""
"437,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #3279] - Ref: 1759 [Suivi dossier #3993] - Ref: 783"""
"438,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #3551] - Ref: 3532 [Suivi dossier #6997] - Ref: 1887"""
"439,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #7920] - Ref: 2385 [Suivi dossier #3009] - Ref: 7085"""
"440,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #8949] - Ref: 1329 [Suivi dossier #4052] - Ref: 9766"""
"441,""4"",""Médecin très compétent, mais l'accueil à l'entrée pourrait être plus souriant. [Suivi dossier #983] - Ref: 9489 [Suivi dossier #1236] - Ref: 7575"""
"442,""2"",""Le médecin était très froid et distant. Manque total d'empathie du personnel. [Suivi dossier #8068] - Ref: 3461 [Suivi dossier #4022] - Ref: 8579"""
"443,""1"",""Une infirmière m'a parlé de façon très agressive. Accueil déplorable. [Suivi dossier #7392] - Ref: 8839 [Suivi dossier #6403] - Ref: 171"""
"444,""2"",""La chambre était sale et le repas vraiment pas bon, mais le personnel reste sympa. [Suivi dossier #2755] - Ref: 3813 [Suivi dossier #9951] - Ref: 5118"""
"445,""1"",""La propreté des locaux laisse à désirer, poussière partout et douche froide. [Suivi dossier #1599] - Ref: 2546 [Suivi dossier #548] - Ref: 5077"""
"446,""5"",""Très bon accueil, locaux propres, neufs et repas corrects pour un hôpital. [Suivi dossier #9732] - Ref: 1291 [Suivi dossier #2884] - Ref: 31"""
"447,""3"",""Repas tiède et chambre bruyante à côté de l'ascenseur, mais soins de qualité. [Suivi dossier #3865] - Ref: 8817 [Suivi dossier #2778] - Ref: 4926"""
"448,""4"",""Infirmière au top, très douce. Dommage que la chambre soit si mal isolée. [Suivi dossier #129] - Ref: 213 [Suivi dossier #5238] - Ref: 4539"""
"449,""1"",""Une attente interminable aux urgences aujourd hui, le retard est vraiment inadmissible. [Suivi dossier #7855] - Ref: 7914"""
"450,""1"",""Le temps d'attente est beaucoup trop long, plus de 3h de retard pour mon rendez-vous. [Suivi dossier #3562] - Ref: 5954"""
"451,""2"",""Trop d'attente à l'accueil. Les secrétaires sont débordées et le retard s'accumule. [Suivi dossier #4244] - Ref: 6029"""
"452,""1"",""Inadmissible, j'ai attendu des heures dans le couloir sans aucune information. [Suivi dossier #536] - Ref: 2284"""
"453,""5"",""Prise en charge immédiate ! Pas une minute d'attente, service très fluide. [Suivi dossier #9950] - Ref: 3333"""
"454,""4"",""Un peu de retard pour la consultation, mais l'équipe médicale est excellente. [Suivi dossier #8140] - Ref: 9813"""
"455,""5"",""Les infirmières ont été adorables et le médecin très à l'écoute. Merci à l'équipe. [Suivi dossier #853] - Ref: 9067"""
"456,""5"",""Un personnel soignant au top, d'une gentillesse incroyable et très professionnel. [Suivi dossier #9844] - Ref: 5895"""
